ID;Organisation;Sector;Subsector;Service;Province_CODE;Municipality_CODE;Barangay;Status;Beneficiaries;Beneficiary_type
9;PRC;Assesment;Assessment;Asessment;209;20902;;Finished;1;province
24;PRC;Assesment;Assessment;Assessment;209;20902;;Finished;1;municipality
8;PRC;Welfare;PSS;Child Friendly Space;209;20901;San Rafael;Finished;73;individuals
101;PRC;WASH;WASH;Eemergency Hygiene Promotion Training;209;20902;San Rafael;Finished;23;individuals
104;PRC;WASH;WASH;Eemergency Hygiene Promotion Training;209;20902;Sta. Lucia;Finished;19;individuals
3;PRC;Health;Safety;First Aid Kit;209;20901;Kaychanarian;Finished;1;chapter
4;PRC;Health;Safety;First Aid Kit;209;20901;Kaychanarian;Finished;1;chapter
10;PRC;Relief;Food;Hot Meals;209;20902;San Rafael;Finished;300;individuals
13;PRC;Relief;Food;Hot Meals;209;20902;San Rafael;Finished;600;individuals
14;PRC;Relief;Food;Hot Meals;209;20902;San Rafael;Finished;500;individuals
18;PRC;Relief;Food;Hot Meals;209;20902;San Rafael;Finished;500;individuals
19;PRC;Relief;Food;Hot Meals;209;20902;San Rafael;Finished;700;individuals
20;PRC;Relief;Food;Hot Meals;209;20902;San Rafael;Finished;600;individuals
21;Itbayat Parish Church;Relief;Food;Hot Meals;209;20902;San Rafael;Finished;775;individuals
22;PRC;Relief;Food;Hot Meals;209;20902;San Rafael;Finished;500;individuals
27;PRC;Relief;Food;Hot Meals;209;20902;San Rafael;Finished;500;individuals
28;PRC;Relief;Food;Hot Meals;209;20902;San Rafael;Finished;600;individuals
37;PRC;Relief;Food;Hot Meals;209;20902;San Rafael;Finished;500;individuals
41;PRC;Relief;Food;Hot Meals;209;20902;San Rafael;Finished;500;individuals
33;PRC;WASH;WASH;Hygiene Promotion;209;20902;San Rafael;Finished;35;individuals
34;PRC;WASH;WASH;Hygiene Promotion;209;20902;San Rafael;Finished;20;individuals
39;PRC;WASH;WASH;Hygiene Promotion;209;20902;San Rafael;Finished;15;individuals
46;PRC;WASH;WASH;Hygiene Promotion;209;20902;San Rafael;Finished;63;individuals
53;PRC;WASH;WASH;Hygiene Promotion;209;20902;San Rafael;Finished;69;individuals
59;PRC;WASH;WASH;Hygiene Promotion;209;20902;San Rafael;Finished;62;individuals
61;PRC;WASH;WASH;Hygiene Promotion;209;20902;San Rafael;Finished;45;individuals
63;PRC;WASH;WASH;Hygiene Promotion;209;20902;San Rafael;Finished;62;individuals
66;PRC;WASH;WASH;Hygiene Promotion;209;20902;San Rafael;Finished;116;individuals
69;PRC;WASH;WASH;Hygiene Promotion;209;20902;Sta. Lucia;Finished;54;individuals
71;PRC;WASH;WASH;Hygiene Promotion;209;20902;San Rosa;Finished;205;individuals
74;PRC;WASH;WASH;Hygiene Promotion;209;20902;San Rosa;Finished;159;individuals
76;PRC;WASH;WASH;Hygiene Promotion;209;20902;San Rosa;Finished;186;individuals
84;PRC;WASH;WASH;Hygiene Promotion;209;20902;San Rafael;Finished;189;individuals
85;PRC;WASH;WASH;Hygiene Promotion;209;20902;San Rafael;Finished;154;individuals
93;PRC;WASH;WASH;Hygiene Promotion;209;20902;San Rafael;Finished;183;individuals
99;PRC;WASH;WASH;Hygiene Promotion;209;20902;San Rafael;Finished;2;individuals
118;PRC;Relief;Relief;MPCG: PHP 6000;209;20902;Sta. Rosa;Finished;51;individuals
119;PRC;Relief;Relief;MPCG: PHP 6000;209;20902;Sta. Maria;Finished;73;individuals
120;PRC;Relief;Relief;MPCG: PHP 6000;209;20902;Sta Lucia;Finished;31;individuals
121;PRC;Relief;Relief;MPCG: PHP 6000;209;20902;San Rafael;Finished;42;individuals
122;PRC;Relief;Relief;MPCG: PHP 6000;209;20902;Raele;Finished;6;individuals
110;PRC;Welfare;PSS;PFA;209;20902;;Finished;3;individuals
111;PRC;Welfare;PSS;PFA;209;20902;San Rafael;Finished;1;individuals
112;PRC;Welfare;PSS;PFA;209;20902;San Rafael;Finished;6;individuals
117;PRC;Welfare;PSP Crash Course;PSP Crash Course;209;20902;San Rafael;Finished;13;individuals
